card_id,rank_corpus,verbo,verbo_base,tiempo_id,tiempo,regularidad_tarjeta,terminacion,pronominal,patrones_tarjeta,aplicable,yo,tu,el_ella_usted,nosotros,ellos_ellas_ustedes,nota
ser__presente_indicativo,1,ser,ser,presente_indicativo,Presente,irregular,er,no,muy irregular,sí,soy,eres,es,somos,son,
ser__preterito,1,ser,ser,preterito,Pretérito,irregular,er,no,muy irregular,sí,fui,fuiste,fue,fuimos,fueron,
ser__imperfecto,1,ser,ser,imperfecto,Imperfecto,irregular,er,no,muy irregular,sí,era,eras,era,éramos,eran,
ser__futuro,1,ser,ser,futuro,Futuro,regular,er,no,regular,sí,seré,serás,será,seremos,serán,
ser__condicional,1,ser,ser,condicional,Condicional,regular,er,no,regular,sí,sería,serías,sería,seríamos,serían,
ser__presente_subjuntivo,1,ser,ser,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,muy irregular,sí,sea,seas,sea,seamos,sean,
ser__imperfecto_subjuntivo,1,ser,ser,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,muy irregular,sí,fuera,fueras,fuera,fuéramos,fueran,
ser__imperativo,1,ser,ser,imperativo,Imperativo,irregular,er,no,muy irregular,sí,,sé / no seas,sea / no sea,seamos / no seamos,sean / no sean,
decir__presente_indicativo,2,decir,decir,presente_indicativo,Presente,irregular,ir,no,muy irregular,sí,digo,dices,dice,decimos,dicen,
decir__preterito,2,decir,decir,preterito,Pretérito,irregular,ir,no,raíz en j,sí,dije,dijiste,dijo,dijimos,dijeron,
decir__imperfecto,2,decir,decir,imperfecto,Imperfecto,regular,ir,no,regular,sí,decía,decías,decía,decíamos,decían,
decir__futuro,2,decir,decir,futuro,Futuro,irregular,ir,no,raíz irregular,sí,diré,dirás,dirá,diremos,dirán,
decir__condicional,2,decir,decir,condicional,Condicional,irregular,ir,no,raíz irregular,sí,diría,dirías,diría,diríamos,dirían,
decir__presente_subjuntivo,2,decir,decir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,yo irregular,sí,diga,digas,diga,digamos,digan,
decir__imperfecto_subjuntivo,2,decir,decir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,raíz en j,sí,dijera,dijeras,dijera,dijéramos,dijeran,
decir__imperativo,2,decir,decir,imperativo,Imperativo,irregular,ir,no,muy irregular,sí,,di / no digas,diga / no diga,digamos / no digamos,digan / no digan,
estar__presente_indicativo,3,estar,estar,presente_indicativo,Presente,irregular,ar,no,muy irregular,sí,estoy,estás,está,estamos,están,
estar__preterito,3,estar,estar,preterito,Pretérito,irregular,ar,no,raíz irregular,sí,estuve,estuviste,estuvo,estuvimos,estuvieron,
estar__imperfecto,3,estar,estar,imperfecto,Imperfecto,regular,ar,no,regular,sí,estaba,estabas,estaba,estábamos,estaban,
estar__futuro,3,estar,estar,futuro,Futuro,regular,ar,no,regular,sí,estaré,estarás,estará,estaremos,estarán,
estar__condicional,3,estar,estar,condicional,Condicional,regular,ar,no,regular,sí,estaría,estarías,estaría,estaríamos,estarían,
estar__presente_subjuntivo,3,estar,estar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,muy irregular,sí,esté,estés,esté,estemos,estén,
estar__imperfecto_subjuntivo,3,estar,estar,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ar,no,raíz irregular,sí,estuviera,estuvieras,estuviera,estuviéramos,estuvieran,
estar__imperativo,3,estar,estar,imperativo,Imperativo,irregular,ar,no,muy irregular,sí,,está / no estés,esté / no esté,estemos / no estemos,estén / no estén,
ir__presente_indicativo,4,ir,ir,presente_indicativo,Presente,irregular,ir,no,muy irregular,sí,voy,vas,va,vamos,van,
ir__preterito,4,ir,ir,preterito,Pretérito,irregular,ir,no,muy irregular,sí,fui,fuiste,fue,fuimos,fueron,
ir__imperfecto,4,ir,ir,imperfecto,Imperfecto,irregular,ir,no,muy irregular,sí,iba,ibas,iba,íbamos,iban,
ir__futuro,4,ir,ir,futuro,Futuro,regular,ir,no,regular,sí,iré,irás,irá,iremos,irán,
ir__condicional,4,ir,ir,condicional,Condicional,regular,ir,no,regular,sí,iría,irías,iría,iríamos,irían,
ir__presente_subjuntivo,4,ir,ir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,muy irregular,sí,vaya,vayas,vaya,vayamos,vayan,
ir__imperfecto_subjuntivo,4,ir,ir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,muy irregular,sí,fuera,fueras,fuera,fuéramos,fueran,
ir__imperativo,4,ir,ir,imperativo,Imperativo,irregular,ir,no,muy irregular,sí,,ve / no vayas,vaya / no vaya,vayamos / no vayamos,vayan / no vayan,
tener__presente_indicativo,5,tener,tener,presente_indicativo,Presente,irregular,er,no,muy irregular,sí,tengo,tienes,tiene,tenemos,tienen,
tener__preterito,5,tener,tener,preterito,Pretérito,irregular,er,no,raíz irregular,sí,tuve,tuviste,tuvo,tuvimos,tuvieron,
tener__imperfecto,5,tener,tener,imperfecto,Imperfecto,regular,er,no,regular,sí,tenía,tenías,tenía,teníamos,tenían,
tener__futuro,5,tener,tener,futuro,Futuro,irregular,er,no,raíz irregular,sí,tendré,tendrás,tendrá,tendremos,tendrán,
tener__condicional,5,tener,tener,condicional,Condicional,irregular,er,no,raíz irregular,sí,tendría,tendrías,tendría,tendríamos,tendrían,
tener__presente_subjuntivo,5,tener,tener,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo irregular,sí,tenga,tengas,tenga,tengamos,tengan,
tener__imperfecto_subjuntivo,5,tener,tener,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,raíz irregular,sí,tuviera,tuvieras,tuviera,tuviéramos,tuvieran,
tener__imperativo,5,tener,tener,imperativo,Imperativo,irregular,er,no,muy irregular,sí,,ten / no tengas,tenga / no tenga,tengamos / no tengamos,tengan / no tengan,
haber__presente_indicativo,6,haber,haber,presente_indicativo,Presente,irregular,er,no,muy irregular,sí,he,has,ha,hemos,han,
haber__preterito,6,haber,haber,preterito,Pretérito,irregular,er,no,raíz irregular,sí,hube,hubiste,hubo,hubimos,hubieron,
haber__imperfecto,6,haber,haber,imperfecto,Imperfecto,regular,er,no,regular,sí,había,habías,había,habíamos,habían,
haber__futuro,6,haber,haber,futuro,Futuro,irregular,er,no,raíz irregular,sí,habré,habrás,habrá,habremos,habrán,
haber__condicional,6,haber,haber,condicional,Condicional,irregular,er,no,raíz irregular,sí,habría,habrías,habría,habríamos,habrían,
haber__presente_subjuntivo,6,haber,haber,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,muy irregular,sí,haya,hayas,haya,hayamos,hayan,
haber__imperfecto_subjuntivo,6,haber,haber,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,raíz irregular,sí,hubiera,hubieras,hubiera,hubiéramos,hubieran,
haber__imperativo,6,haber,haber,imperativo,Imperativo,irregular,er,no,no aplicable,no,,,,,,El imperativo de haber es raro/marginal; tarjeta no aplicable.
ver__presente_indicativo,7,ver,ver,presente_indicativo,Presente,irregular,er,no,yo irregular,sí,veo,ves,ve,vemos,ven,
ver__preterito,7,ver,ver,preterito,Pretérito,irregular,er,no,muy irregular,sí,vi,viste,vio,vimos,vieron,
ver__imperfecto,7,ver,ver,imperfecto,Imperfecto,irregular,er,no,muy irregular,sí,veía,veías,veía,veíamos,veían,
ver__futuro,7,ver,ver,futuro,Futuro,regular,er,no,regular,sí,veré,verás,verá,veremos,verán,
ver__condicional,7,ver,ver,condicional,Condicional,regular,er,no,regular,sí,vería,verías,vería,veríamos,verían,
ver__presente_subjuntivo,7,ver,ver,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo irregular,sí,vea,veas,vea,veamos,vean,
ver__imperfecto_subjuntivo,7,ver,ver,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,muy irregular,sí,viera,vieras,viera,viéramos,vieran,
ver__imperativo,7,ver,ver,imperativo,Imperativo,irregular,er,no,muy irregular,sí,,ve / no veas,vea / no vea,veamos / no veamos,vean / no vean,
saber__presente_indicativo,8,saber,saber,presente_indicativo,Presente,irregular,er,no,yo irregular,sí,sé,sabes,sabe,sabemos,saben,
saber__preterito,8,saber,saber,preterito,Pretérito,irregular,er,no,raíz irregular,sí,supe,supiste,supo,supimos,supieron,
saber__imperfecto,8,saber,saber,imperfecto,Imperfecto,regular,er,no,regular,sí,sabía,sabías,sabía,sabíamos,sabían,
saber__futuro,8,saber,saber,futuro,Futuro,irregular,er,no,raíz irregular,sí,sabré,sabrás,sabrá,sabremos,sabrán,
saber__condicional,8,saber,saber,condicional,Condicional,irregular,er,no,raíz irregular,sí,sabría,sabrías,sabría,sabríamos,sabrían,
saber__presente_subjuntivo,8,saber,saber,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,muy irregular,sí,sepa,sepas,sepa,sepamos,sepan,
saber__imperfecto_subjuntivo,8,saber,saber,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,raíz irregular,sí,supiera,supieras,supiera,supiéramos,supieran,
saber__imperativo,8,saber,saber,imperativo,Imperativo,irregular,er,no,muy irregular,sí,,sabe / no sepas,sepa / no sepa,sepamos / no sepamos,sepan / no sepan,
hacer__presente_indicativo,9,hacer,hacer,presente_indicativo,Presente,irregular,er,no,yo→-go,sí,hago,haces,hace,hacemos,hacen,
hacer__preterito,9,hacer,hacer,preterito,Pretérito,irregular,er,no,raíz irregular,sí,hice,hiciste,hizo,hicimos,hicieron,
hacer__imperfecto,9,hacer,hacer,imperfecto,Imperfecto,regular,er,no,regular,sí,hacía,hacías,hacía,hacíamos,hacían,
hacer__futuro,9,hacer,hacer,futuro,Futuro,irregular,er,no,raíz irregular,sí,haré,harás,hará,haremos,harán,
hacer__condicional,9,hacer,hacer,condicional,Condicional,irregular,er,no,raíz irregular,sí,haría,harías,haría,haríamos,harían,
hacer__presente_subjuntivo,9,hacer,hacer,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo irregular,sí,haga,hagas,haga,hagamos,hagan,
hacer__imperfecto_subjuntivo,9,hacer,hacer,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,raíz irregular,sí,hiciera,hicieras,hiciera,hiciéramos,hicieran,
hacer__imperativo,9,hacer,hacer,imperativo,Imperativo,irregular,er,no,muy irregular,sí,,haz / no hagas,haga / no haga,hagamos / no hagamos,hagan / no hagan,
querer__presente_indicativo,10,querer,querer,presente_indicativo,Presente,irregular,er,no,e→ie,sí,quiero,quieres,quiere,queremos,quieren,
querer__preterito,10,querer,querer,preterito,Pretérito,irregular,er,no,raíz irregular,sí,quise,quisiste,quiso,quisimos,quisieron,
querer__imperfecto,10,querer,querer,imperfecto,Imperfecto,regular,er,no,regular,sí,quería,querías,quería,queríamos,querían,
querer__futuro,10,querer,querer,futuro,Futuro,irregular,er,no,raíz irregular,sí,querré,querrás,querrá,querremos,querrán,
querer__condicional,10,querer,querer,condicional,Condicional,irregular,er,no,raíz irregular,sí,querría,querrías,querría,querríamos,querrían,
querer__presente_subjuntivo,10,querer,querer,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,e→ie,sí,quiera,quieras,quiera,queramos,quieran,
querer__imperfecto_subjuntivo,10,querer,querer,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,raíz irregular,sí,quisiera,quisieras,quisiera,quisiéramos,quisieran,
querer__imperativo,10,querer,querer,imperativo,Imperativo,irregular,er,no,e→ie,sí,,quiere / no quieras,quiera / no quiera,queramos / no queramos,quieran / no quieran,
dar__presente_indicativo,11,dar,dar,presente_indicativo,Presente,irregular,ar,no,yo irregular,sí,doy,das,da,damos,dan,
dar__preterito,11,dar,dar,preterito,Pretérito,irregular,ar,no,muy irregular,sí,di,diste,dio,dimos,dieron,
dar__imperfecto,11,dar,dar,imperfecto,Imperfecto,regular,ar,no,regular,sí,daba,dabas,daba,dábamos,daban,
dar__futuro,11,dar,dar,futuro,Futuro,regular,ar,no,regular,sí,daré,darás,dará,daremos,darán,
dar__condicional,11,dar,dar,condicional,Condicional,regular,ar,no,regular,sí,daría,darías,daría,daríamos,darían,
dar__presente_subjuntivo,11,dar,dar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,muy irregular,sí,dé,des,dé,demos,den,
dar__imperfecto_subjuntivo,11,dar,dar,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ar,no,muy irregular,sí,diera,dieras,diera,diéramos,dieran,
dar__imperativo,11,dar,dar,imperativo,Imperativo,irregular,ar,no,muy irregular,sí,,da / no des,dé / no dé,demos / no demos,den / no den,
creer__presente_indicativo,12,creer,creer,presente_indicativo,Presente,regular,er,no,regular,sí,creo,crees,cree,creemos,creen,
creer__preterito,12,creer,creer,preterito,Pretérito,irregular,er,no,i→y,sí,creí,creíste,creyó,creímos,creyeron,
creer__imperfecto,12,creer,creer,imperfecto,Imperfecto,regular,er,no,regular,sí,creía,creías,creía,creíamos,creían,
creer__futuro,12,creer,creer,futuro,Futuro,regular,er,no,regular,sí,creeré,creerás,creerá,creeremos,creerán,
creer__condicional,12,creer,creer,condicional,Condicional,regular,er,no,regular,sí,creería,creerías,creería,creeríamos,creerían,
creer__presente_subjuntivo,12,creer,creer,presente_subjuntivo,Presente de subjuntivo,regular,er,no,regular,sí,crea,creas,crea,creamos,crean,
creer__imperfecto_subjuntivo,12,creer,creer,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,i→y,sí,creyera,creyeras,creyera,creyéramos,creyeran,
creer__imperativo,12,creer,creer,imperativo,Imperativo,regular,er,no,regular,sí,,cree / no creas,crea / no crea,creamos / no creamos,crean / no crean,
poder__presente_indicativo,13,poder,poder,presente_indicativo,Presente,irregular,er,no,o→ue,sí,puedo,puedes,puede,podemos,pueden,
poder__preterito,13,poder,poder,preterito,Pretérito,irregular,er,no,raíz irregular,sí,pude,pudiste,pudo,pudimos,pudieron,
poder__imperfecto,13,poder,poder,imperfecto,Imperfecto,regular,er,no,regular,sí,podía,podías,podía,podíamos,podían,
poder__futuro,13,poder,poder,futuro,Futuro,irregular,er,no,raíz irregular,sí,podré,podrás,podrá,podremos,podrán,
poder__condicional,13,poder,poder,condicional,Condicional,irregular,er,no,raíz irregular,sí,podría,podrías,podría,podríamos,podrían,
poder__presente_subjuntivo,13,poder,poder,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,o→ue,sí,pueda,puedas,pueda,podamos,puedan,
poder__imperfecto_subjuntivo,13,poder,poder,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,raíz irregular,sí,pudiera,pudieras,pudiera,pudiéramos,pudieran,
poder__imperativo,13,poder,poder,imperativo,Imperativo,irregular,er,no,o→ue,sí,,puede / no puedas,pueda / no pueda,podamos / no podamos,puedan / no puedan,
pasar__presente_indicativo,14,pasar,pasar,presente_indicativo,Presente,regular,ar,no,regular,sí,paso,pasas,pasa,pasamos,pasan,
pasar__preterito,14,pasar,pasar,preterito,Pretérito,regular,ar,no,regular,sí,pasé,pasaste,pasó,pasamos,pasaron,
pasar__imperfecto,14,pasar,pasar,imperfecto,Imperfecto,regular,ar,no,regular,sí,pasaba,pasabas,pasaba,pasábamos,pasaban,
pasar__futuro,14,pasar,pasar,futuro,Futuro,regular,ar,no,regular,sí,pasaré,pasarás,pasará,pasaremos,pasarán,
pasar__condicional,14,pasar,pasar,condicional,Condicional,regular,ar,no,regular,sí,pasaría,pasarías,pasaría,pasaríamos,pasarían,
pasar__presente_subjuntivo,14,pasar,pasar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,pase,pases,pase,pasemos,pasen,
pasar__imperfecto_subjuntivo,14,pasar,pasar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,pasara,pasaras,pasara,pasáramos,pasaran,
pasar__imperativo,14,pasar,pasar,imperativo,Imperativo,regular,ar,no,regular,sí,,pasa / no pases,pase / no pase,pasemos / no pasemos,pasen / no pasen,
venir__presente_indicativo,15,venir,venir,presente_indicativo,Presente,irregular,ir,no,muy irregular,sí,vengo,vienes,viene,venimos,vienen,
venir__preterito,15,venir,venir,preterito,Pretérito,irregular,ir,no,raíz irregular,sí,vine,viniste,vino,vinimos,vinieron,
venir__imperfecto,15,venir,venir,imperfecto,Imperfecto,regular,ir,no,regular,sí,venía,venías,venía,veníamos,venían,
venir__futuro,15,venir,venir,futuro,Futuro,irregular,ir,no,raíz irregular,sí,vendré,vendrás,vendrá,vendremos,vendrán,
venir__condicional,15,venir,venir,condicional,Condicional,irregular,ir,no,raíz irregular,sí,vendría,vendrías,vendría,vendríamos,vendrían,
venir__presente_subjuntivo,15,venir,venir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,yo irregular,sí,venga,vengas,venga,vengamos,vengan,
venir__imperfecto_subjuntivo,15,venir,venir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,raíz irregular,sí,viniera,vinieras,viniera,viniéramos,vinieran,
venir__imperativo,15,venir,venir,imperativo,Imperativo,irregular,ir,no,muy irregular,sí,,ven / no vengas,venga / no venga,vengamos / no vengamos,vengan / no vengan,
irse__presente_indicativo,16,irse,ir,presente_indicativo,Presente,irregular,ir,sí,muy irregular,sí,me voy,te vas,se va,nos vamos,se van,
irse__preterito,16,irse,ir,preterito,Pretérito,irregular,ir,sí,muy irregular,sí,me fui,te fuiste,se fue,nos fuimos,se fueron,
irse__imperfecto,16,irse,ir,imperfecto,Imperfecto,irregular,ir,sí,muy irregular,sí,me iba,te ibas,se iba,nos íbamos,se iban,
irse__futuro,16,irse,ir,futuro,Futuro,regular,ir,sí,regular,sí,me iré,te irás,se irá,nos iremos,se irán,
irse__condicional,16,irse,ir,condicional,Condicional,regular,ir,sí,regular,sí,me iría,te irías,se iría,nos iríamos,se irían,
irse__presente_subjuntivo,16,irse,ir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,sí,muy irregular,sí,me vaya,te vayas,se vaya,nos vayamos,se vayan,
irse__imperfecto_subjuntivo,16,irse,ir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,sí,muy irregular,sí,me fuera,te fueras,se fuera,nos fuéramos,se fueran,
irse__imperativo,16,irse,ir,imperativo,Imperativo,irregular,ir,sí,muy irregular,sí,,vete / no te vayas,váyase / no se vaya,vámonos / no nos vayamos,váyanse / no se vayan,
salir__presente_indicativo,17,salir,salir,presente_indicativo,Presente,irregular,ir,no,yo→-go,sí,salgo,sales,sale,salimos,salen,
salir__preterito,17,salir,salir,preterito,Pretérito,regular,ir,no,regular,sí,salí,saliste,salió,salimos,salieron,
salir__imperfecto,17,salir,salir,imperfecto,Imperfecto,regular,ir,no,regular,sí,salía,salías,salía,salíamos,salían,
salir__futuro,17,salir,salir,futuro,Futuro,irregular,ir,no,raíz irregular,sí,saldré,saldrás,saldrá,saldremos,saldrán,
salir__condicional,17,salir,salir,condicional,Condicional,irregular,ir,no,raíz irregular,sí,saldría,saldrías,saldría,saldríamos,saldrían,
salir__presente_subjuntivo,17,salir,salir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,yo irregular,sí,salga,salgas,salga,salgamos,salgan,
salir__imperfecto_subjuntivo,17,salir,salir,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ir,no,regular,sí,saliera,salieras,saliera,saliéramos,salieran,
salir__imperativo,17,salir,salir,imperativo,Imperativo,irregular,ir,no,muy irregular,sí,,sal / no salgas,salga / no salga,salgamos / no salgamos,salgan / no salgan,
poner__presente_indicativo,18,poner,poner,presente_indicativo,Presente,irregular,er,no,yo→-go,sí,pongo,pones,pone,ponemos,ponen,
poner__preterito,18,poner,poner,preterito,Pretérito,irregular,er,no,raíz irregular,sí,puse,pusiste,puso,pusimos,pusieron,
poner__imperfecto,18,poner,poner,imperfecto,Imperfecto,regular,er,no,regular,sí,ponía,ponías,ponía,poníamos,ponían,
poner__futuro,18,poner,poner,futuro,Futuro,irregular,er,no,raíz irregular,sí,pondré,pondrás,pondrá,pondremos,pondrán,
poner__condicional,18,poner,poner,condicional,Condicional,irregular,er,no,raíz irregular,sí,pondría,pondrías,pondría,pondríamos,pondrían,
poner__presente_subjuntivo,18,poner,poner,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo irregular,sí,ponga,pongas,ponga,pongamos,pongan,
poner__imperfecto_subjuntivo,18,poner,poner,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,raíz irregular,sí,pusiera,pusieras,pusiera,pusiéramos,pusieran,
poner__imperativo,18,poner,poner,imperativo,Imperativo,irregular,er,no,muy irregular,sí,,pon / no pongas,ponga / no ponga,pongamos / no pongamos,pongan / no pongan,
llegar__presente_indicativo,19,llegar,llegar,presente_indicativo,Presente,regular,ar,no,regular,sí,llego,llegas,llega,llegamos,llegan,
llegar__preterito,19,llegar,llegar,preterito,Pretérito,irregular,ar,no,cambio ortográfico,sí,llegué,llegaste,llegó,llegamos,llegaron,
llegar__imperfecto,19,llegar,llegar,imperfecto,Imperfecto,regular,ar,no,regular,sí,llegaba,llegabas,llegaba,llegábamos,llegaban,
llegar__futuro,19,llegar,llegar,futuro,Futuro,regular,ar,no,regular,sí,llegaré,llegarás,llegará,llegaremos,llegarán,
llegar__condicional,19,llegar,llegar,condicional,Condicional,regular,ar,no,regular,sí,llegaría,llegarías,llegaría,llegaríamos,llegarían,
llegar__presente_subjuntivo,19,llegar,llegar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,cambio ortográfico,sí,llegue,llegues,llegue,lleguemos,lleguen,
llegar__imperfecto_subjuntivo,19,llegar,llegar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,llegara,llegaras,llegara,llegáramos,llegaran,
llegar__imperativo,19,llegar,llegar,imperativo,Imperativo,irregular,ar,no,cambio ortográfico,sí,,llega / no llegues,llegue / no llegue,lleguemos / no lleguemos,lleguen / no lleguen,
comer__presente_indicativo,20,comer,comer,presente_indicativo,Presente,regular,er,no,regular,sí,como,comes,come,comemos,comen,
comer__preterito,20,comer,comer,preterito,Pretérito,regular,er,no,regular,sí,comí,comiste,comió,comimos,comieron,
comer__imperfecto,20,comer,comer,imperfecto,Imperfecto,regular,er,no,regular,sí,comía,comías,comía,comíamos,comían,
comer__futuro,20,comer,comer,futuro,Futuro,regular,er,no,regular,sí,comeré,comerás,comerá,comeremos,comerán,
comer__condicional,20,comer,comer,condicional,Condicional,regular,er,no,regular,sí,comería,comerías,comería,comeríamos,comerían,
comer__presente_subjuntivo,20,comer,comer,presente_subjuntivo,Presente de subjuntivo,regular,er,no,regular,sí,coma,comas,coma,comamos,coman,
comer__imperfecto_subjuntivo,20,comer,comer,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,er,no,regular,sí,comiera,comieras,comiera,comiéramos,comieran,
comer__imperativo,20,comer,comer,imperativo,Imperativo,regular,er,no,regular,sí,,come / no comas,coma / no coma,comamos / no comamos,coman / no coman,
dejar__presente_indicativo,21,dejar,dejar,presente_indicativo,Presente,regular,ar,no,regular,sí,dejo,dejas,deja,dejamos,dejan,
dejar__preterito,21,dejar,dejar,preterito,Pretérito,regular,ar,no,regular,sí,dejé,dejaste,dejó,dejamos,dejaron,
dejar__imperfecto,21,dejar,dejar,imperfecto,Imperfecto,regular,ar,no,regular,sí,dejaba,dejabas,dejaba,dejábamos,dejaban,
dejar__futuro,21,dejar,dejar,futuro,Futuro,regular,ar,no,regular,sí,dejaré,dejarás,dejará,dejaremos,dejarán,
dejar__condicional,21,dejar,dejar,condicional,Condicional,regular,ar,no,regular,sí,dejaría,dejarías,dejaría,dejaríamos,dejarían,
dejar__presente_subjuntivo,21,dejar,dejar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,deje,dejes,deje,dejemos,dejen,
dejar__imperfecto_subjuntivo,21,dejar,dejar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,dejara,dejaras,dejara,dejáramos,dejaran,
dejar__imperativo,21,dejar,dejar,imperativo,Imperativo,regular,ar,no,regular,sí,,deja / no dejes,deje / no deje,dejemos / no dejemos,dejen / no dejen,
hablar__presente_indicativo,22,hablar,hablar,presente_indicativo,Presente,regular,ar,no,regular,sí,hablo,hablas,habla,hablamos,hablan,
hablar__preterito,22,hablar,hablar,preterito,Pretérito,regular,ar,no,regular,sí,hablé,hablaste,habló,hablamos,hablaron,
hablar__imperfecto,22,hablar,hablar,imperfecto,Imperfecto,regular,ar,no,regular,sí,hablaba,hablabas,hablaba,hablábamos,hablaban,
hablar__futuro,22,hablar,hablar,futuro,Futuro,regular,ar,no,regular,sí,hablaré,hablarás,hablará,hablaremos,hablarán,
hablar__condicional,22,hablar,hablar,condicional,Condicional,regular,ar,no,regular,sí,hablaría,hablarías,hablaría,hablaríamos,hablarían,
hablar__presente_subjuntivo,22,hablar,hablar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,hable,hables,hable,hablemos,hablen,
hablar__imperfecto_subjuntivo,22,hablar,hablar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,hablara,hablaras,hablara,habláramos,hablaran,
hablar__imperativo,22,hablar,hablar,imperativo,Imperativo,regular,ar,no,regular,sí,,habla / no hables,hable / no hable,hablemos / no hablemos,hablen / no hablen,
mirar__presente_indicativo,23,mirar,mirar,presente_indicativo,Presente,regular,ar,no,regular,sí,miro,miras,mira,miramos,miran,
mirar__preterito,23,mirar,mirar,preterito,Pretérito,regular,ar,no,regular,sí,miré,miraste,miró,miramos,miraron,
mirar__imperfecto,23,mirar,mirar,imperfecto,Imperfecto,regular,ar,no,regular,sí,miraba,mirabas,miraba,mirábamos,miraban,
mirar__futuro,23,mirar,mirar,futuro,Futuro,regular,ar,no,regular,sí,miraré,mirarás,mirará,miraremos,mirarán,
mirar__condicional,23,mirar,mirar,condicional,Condicional,regular,ar,no,regular,sí,miraría,mirarías,miraría,miraríamos,mirarían,
mirar__presente_subjuntivo,23,mirar,mirar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,mire,mires,mire,miremos,miren,
mirar__imperfecto_subjuntivo,23,mirar,mirar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,mirara,miraras,mirara,miráramos,miraran,
mirar__imperativo,23,mirar,mirar,imperativo,Imperativo,regular,ar,no,regular,sí,,mira / no mires,mire / no mire,miremos / no miremos,miren / no miren,
pedir__presente_indicativo,24,pedir,pedir,presente_indicativo,Presente,irregular,ir,no,e→i,sí,pido,pides,pide,pedimos,piden,
pedir__preterito,24,pedir,pedir,preterito,Pretérito,irregular,ir,no,e→i (3.ª persona),sí,pedí,pediste,pidió,pedimos,pidieron,
pedir__imperfecto,24,pedir,pedir,imperfecto,Imperfecto,regular,ir,no,regular,sí,pedía,pedías,pedía,pedíamos,pedían,
pedir__futuro,24,pedir,pedir,futuro,Futuro,regular,ir,no,regular,sí,pediré,pedirás,pedirá,pediremos,pedirán,
pedir__condicional,24,pedir,pedir,condicional,Condicional,regular,ir,no,regular,sí,pediría,pedirías,pediría,pediríamos,pedirían,
pedir__presente_subjuntivo,24,pedir,pedir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,e→i,sí,pida,pidas,pida,pidamos,pidan,
pedir__imperfecto_subjuntivo,24,pedir,pedir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,e→i,sí,pidiera,pidieras,pidiera,pidiéramos,pidieran,
pedir__imperativo,24,pedir,pedir,imperativo,Imperativo,irregular,ir,no,e→i,sí,,pide / no pidas,pida / no pida,pidamos / no pidamos,pidan / no pidan,
